Ipca Labs,IL,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL
IRB Infra,IID01,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/irbinfrastructuredevelopers/IID01
ISGEC Heavy Eng,SIS06,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/isgecheavyengineering/SIS06
ITC,ITC,http://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC
ITD Cementation,ITD03,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/itdcementationindia/ITD03
J Kumar Infra,KI01,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01
J. K. Cement,JKC03,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jkcement/JKC03
JagranPrakashan,JP12,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/jagranprakashan/JP12
Jai Corp,JC08,http://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08
Jain Irrigation,JIS02,http://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02
Jaiprakash Asso,JA02,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02
JB Chemicals,JBC01,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01
JBF Industries,JBF,http://www.moneycontrol.com/india/stockpricequote/textilesmanmade/jbfindustries/JBF
Jet Airways,JA01,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/jetairways/JA01
Jindal (Hisar),JSH,http://www.moneycontrol.com/india/stockpricequote/steellarge/jindalstainlesshisar/JSH
Jindal PolyFilm,JPF01,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01
Jindal Saw,JS08,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/jindalsaw/JS08
Jindal Steel,JSP,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP
JK Bank,JKB,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB
JK Lakshmi Cem,JKL01,http://www.moneycontrol.com/india/stockpricequote/cementmajor/jklakshmicement/JKL01
JK Tyre & Ind,JKT01,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
JM Financial,JMF,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF
Johnson Control,HHL,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL
JSW Energy,JE01,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jswenergy/JE01
JSW Steel,JSW01,http://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01
